Year,Area,Code,Number of children aged 5 (thousands) (=100%),"Diptheria, Tetanus, Polio: Primary","Diptheria, Tetanus, Polio: Primary and boost",Pertussis:Primary,Hib: Primary,MMR: first dose   ,MMR: first and second dose  ,MenC
2012,E16000058,Lambeth,4.2,94.5,95.0,77.2,92.1,84.2,,
2012,E16000060,Lewisham,4.3,90.1,90.1,70.7,86.3,70.9,,
2012,E16000012,Newham,6.2,87.6,87.6,67.9,83.3,71.9,,
2012,E16000083,Redbridge,4.3,93.1,93.2,82.4,90.9,80.1,,
2012,E16000067,Richmond and Twickenham,3.0,95.3,95.5,79.0,91.4,79.5,,
2012,E16000059,Southwark,4.2,92.8,93.2,70.0,89.0,78.9,,
2012,E16000068,Sutton and Merton,5.8,83.0,83.6,67.0,82.1,68.9,,
2012,E16000011,Tower Hamlets,3.7,97.2,97.5,94.4,95.8,93.4,,
2012,E16000084,Waltham Forest,4.3,93.3,93.0,82.6,90.5,81.6,,
2012,E16000061,Wandsworth,4.6,91.8,91.8,70.3,88.5,78.9,,
2012,E16000057,Westminster,2.4,84.8,84.8,76.6,84.5,75.4,,
