,Period beginning,Period ending,Days in period,Journey type,Passengers (m)
385,2014-04-01,2014-04-26,26,Tram Journeys (m),2.2
386,2014-04-27,2014-05-24,28,Tram Journeys (m),2.4
387,2014-05-25,2014-06-21,28,Tram Journeys (m),2.3
388,2014-06-22,2014-07-19,28,Tram Journeys (m),2.5
389,2014-07-20,2014-08-16,28,Tram Journeys (m),2.0
390,2014-08-17,2014-09-13,28,Tram Journeys (m),2.3
391,2014-09-14,2014-10-11,28,Tram Journeys (m),2.6
392,2014-10-12,2014-11-08,28,Tram Journeys (m),2.4
393,2014-11-09,2014-12-06,28,Tram Journeys (m),2.6
394,2014-12-07,2015-01-03,28,Tram Journeys (m),2.1
395,2015-01-04,2015-01-31,28,Tram Journeys (m),2.4
396,2015-02-01,2015-02-28,28,Tram Journeys (m),2.4
397,2015-03-01,2015-03-31,31,Tram Journeys (m),2.5
398,2015-04-01,2015-05-02,26,Tram Journeys (m),2.1
399,2015-05-03,2015-05-30,28,Tram Journeys (m),2.0
400,2015-05-31,2015-06-27,28,Tram Journeys (m),2.1
401,2015-06-28,2015-07-25,28,Tram Journeys (m),2.2
402,2015-07-26,2015-08-22,28,Tram Journeys (m),1.8
403,2015-08-23,2015-09-19,28,Tram Journeys (m),2.0
404,2015-09-20,2015-10-17,28,Tram Journeys (m),2.2
405,2015-10-18,2015-11-14,28,Tram Journeys (m),2.2
406,2015-11-15,2015-12-12,28,Tram Journeys (m),2.3
407,2015-12-13,2016-01-09,28,Tram Journeys (m),1.8
408,2016-01-10,2016-02-06,28,Tram Journeys (m),2.1
409,2016-02-07,2016-03-05,28,Tram Journeys (m),2.2
410,2016-03-06,2016-03-31,31,Tram Journeys (m),1.9
411,2016-04-01,2016-04-30,30,Tram Journeys (m),2.4
412,2016-05-01,2016-05-28,28,Tram Journeys (m),2.4
413,2016-05-29,2016-06-25,28,Tram Journeys (m),2.3
414,2016-06-26,2016-07-23,28,Tram Journeys (m),2.4
415,2016-07-24,2016-08-20,28,Tram Journeys (m),1.8
416,2016-08-21,2016-09-17,28,Tram Journeys (m),2.2
417,2016-09-18,2016-10-15,28,Tram Journeys (m),2.5
418,2016-10-16,2016-11-12,28,Tram Journeys (m),2.2
419,2016-11-13,2016-12-10,28,Tram Journeys (m),2.1
420,2016-12-11,2017-01-07,28,Tram Journeys (m),2.1
421,2017-01-08,2017-02-04,28,Tram Journeys (m),2.4
422,2017-02-05,2017-03-04,28,Tram Journeys (m),2.2
423,2017-03-05,2017-03-31,27,Tram Journeys (m),2.4
424,2017-04-01,2017-04-29,29,Tram Journeys (m),2.1
425,2017-04-30,2017-05-27,28,Tram Journeys (m),2.3
426,2017-05-28,2017-06-24,28,Tram Journeys (m),2.2
427,2017-06-25,2017-07-22,28,Tram Journeys (m),2.4
428,2017-07-23,2017-08-19,28,Tram Journeys (m),2.1
429,2017-08-20,2017-09-16,28,Tram Journeys (m),2.2
430,2017-09-17,2017-10-14,28,Tram Journeys (m),2.5
431,2017-10-15,2017-11-11,28,Tram Journeys (m),2.3
432,2017-11-12,2017-12-09,28,Tram Journeys (m),2.4
433,2017-12-10,2018-01-06,28,Tram Journeys (m),1.9
434,2018-01-07,2018-02-03,28,Tram Journeys (m),2.2
435,2018-02-04,2018-03-03,28,Tram Journeys (m),2.2
436,2018-03-04,2018-03-31,28,Tram Journeys (m),2.2
437,2018-04-01,2018-04-28,28,Tram Journeys (m),1.9
438,2018-04-29,2018-05-26,28,Tram Journeys (m),2.3
