Year,Station,Entry-Weekday,Entry-Sat,Entry-Sun,Exit-Weekday,Exit-Sat,Exit-Sun,Entry & Exit-Annual
2007,Willesden Junction                 ,5337,4182,2240,5481,3868,2374,213.38
2007,Wimbledon                          ,22609,16718,10384,23623,17561,11344,920.53
2007,Wimbledon Park                     ,3394,2774,1444,3127,2243,1327,129.95
2007,Wood Green                         ,17373,14504,9861,15942,12574,9316,699.53
2007,Woodford                           ,7624,4453,2555,6297,3914,2361,256.57
2007,Woodside Park                      ,3896,2068,1282,3466,1416,1415,129.98
2008,Acton Town                         ,9285,6574,4358,9028,6295,4361,361.05
2008,Aldgate                            ,11044,2604,2088,11393,2993,2582,342.74
2008,Aldgate East                       ,13281,7268,6543,13066,6008,6959,489.95
2008,Alperton                           ,4725,3398,2419,4848,3513,2512,191.71
2008,Amersham                           ,3613,1720,1056,3769,1815,986,126.71
2008,Angel                              ,27678,23008,13437,27120,23425,12764,1133.09
2008,Archway                            ,13553,9322,5907,12816,7668,5652,505.11
2008,Arnos Grove                        ,7008,4916,2992,6554,4282,2782,261.89
2008,Arsenal                            ,5093,4360,2620,4581,4537,2512,207.40
2008,Baker Street                       ,39226,27177,18801,38436,26209,18162,1523.18
2008,Balham                             ,18298,13478,8284,18187,12628,8187,717.72
2008,Bank & Monument                    ,77439,15374,9132,80820,17336,9231,2297.00
2008,Barbican                           ,17711,6415,4050,17515,6138,3849,566.86
2008,Barking                            ,19864,14422,9528,16117,13864,9159,738.44
2008,Barkingside                        ,1657,708,417,1610,735,450,55.10
2008,Barons Court                       ,11904,6074,4108,10753,4935,3920,400.23
2008,Bayswater                          ,8437,9106,7484,8126,9222,6737,404.23
2008,Becontree                          ,4215,3240,1437,3910,3143,1275,158.66
2008,Belsize Park                       ,10438,6039,4023,9696,5304,3791,369.40
2008,Bermondsey                         ,11490,6277,4245,10492,5278,4102,396.95
2008,Bethnal Green                      ,23592,17905,11422,20823,15424,10645,896.06
2008,Blackfriars                        ,24068,8068,5127,22629,6529,4441,734.07
2008,Blackhorse Road                    ,9942,7551,4921,9203,6356,4001,380.17
2008,Bond Street                        ,56833,46783,25941,56028,45735,25613,2300.81
2008,Borough                            ,6568,4091,2799,6727,4368,2917,252.71
2008,Boston Manor                       ,3181,2252,1453,3121,1957,1440,122.30
2008,Bounds Green                       ,9553,6766,4420,8694,5720,4254,357.97
2008,Bow Road                           ,8425,5944,3979,8305,5352,4426,329.09
2008,Brent Cross                        ,3506,2394,1840,3347,2245,1818,136.05
2008,Brixton                            ,35213,28513,14240,30640,20750,14666,1308.93
2008,Bromley-by-Bow                     ,4456,3146,2055,4287,2629,1903,169.06
2008,Buckhurst Hill                     ,2865,1457,679,2586,1242,636,93.36
2008,Burnt Oak                          ,5894,3920,2633,5219,3662,2579,217.37
2008,Caledonian Road                    ,8242,5770,3749,7354,4809,3648,305.31
2008,Camden Town                        ,25788,34218,15386,27385,38233,25682,1358.46
2008,Canada Water                       ,17628,13945,9237,17718,13021,9137,719.11
2008,Canary Wharf                       ,75917,26431,15490,77732,26738,16233,2445.93
2008,Canning Town                       ,12489,7663,8995,11984,7069,8377,496.48
2008,Cannon Street                      ,9271,2023,0,7969,1415,0,239.69
2008,Canons Park                        ,2648,1352,759,2635,1244,749,91.46
2008,Chalfont & Latimer                 ,2106,850,512,2036,794,462,68.03
2008,Chalk Farm                         ,7897,7100,5483,6551,5506,3722,314.65
2008,Chancery Lane                      ,27117,6982,3476,29043,7564,3654,837.63
2008,Charing Cross                      ,35240,31857,20886,35664,29147,17792,1498.91
2008,Chesham                            ,823,439,234,668,431,229,26.95
2008,Chigwell                           ,792,365,161,598,319,160,23.73
2008,Chiswick Park                      ,3282,1983,1167,3443,1909,1276,122.96
2008,Chorleywood                        ,1563,706,326,1417,683,313,50.00
2008,Clapham Common                     ,13012,11736,7335,14166,13071,7633,583.11
2008,Clapham North                      ,7828,8245,5102,9561,7936,5208,379.21
2008,Clapham South                      ,12320,8454,5326,11953,7497,5328,466.72
2008,Cockfosters                        ,2798,2166,1278,2705,2113,1265,110.82
2008,Colindale                          ,6830,4407,2990,6370,3706,2749,250.01
2008,Colliers Wood                      ,8906,6499,4302,8262,5818,4134,341.85
2008,Covent Garden                      ,21315,27893,16759,25206,40457,20336,1224.51
2008,Croxley                            ,1309,550,254,1319,506,245,42.61
2008,Dagenham East                      ,3643,2150,1311,3410,1979,1159,129.00
2008,Dagenham Heathway                  ,7038,3689,1965,6626,3652,2155,241.81
2008,Debden                             ,3343,1184,537,2941,975,477,98.69
2008,Dollis Hill                        ,6325,4466,3540,4644,4223,3770,234.12
2008,Ealing Broadway                    ,28504,19715,13202,28119,18472,13131,1102.49
2008,Ealing Common                      ,5305,3893,2562,5338,3841,2549,211.66
2008,Earl's Court                       ,31024,28334,21459,28531,27336,20296,1336.94
2008,East Acton                         ,6216,4391,2956,6169,3846,2746,240.23
2008,East Finchley                      ,9942,6369,3855,9365,5509,3672,361.06
2008,East Ham                           ,19906,15123,10899,19365,13527,10207,794.46
2008,East Putney                        ,9549,7142,4479,8589,6409,4221,363.72
2008,Eastcote                           ,4185,2443,1278,3959,2244,1297,146.91
2008,Edgware                            ,5968,3999,2858,5817,3700,2804,228.81
2008,Edgware Road (Bak)                 ,5939,4219,2496,5870,4017,2356,228.38
2008,Edgware Road (Cir)                 ,9841,6182,4151,9726,5789,3757,366.67
2008,Elephant & Castle                  ,30557,19762,13661,28316,19191,13728,1141.54
2008,Elm Park                           ,4252,2009,952,4033,1607,928,138.02
2008,Embankment                         ,30963,25678,16900,31798,28971,19148,1336.89
2008,Epping                             ,4363,2540,1458,3807,2271,1309,149.23
2008,Euston                             ,46371,26524,19523,45203,26643,17632,1697.24
2008,Euston Square                      ,18113,6331,4537,18838,6828,4817,599.47
2008,Fairlop                            ,1410,643,338,1341,638,363,46.70
2008,Farringdon                         ,35236,8290,4416,33820,8569,3857,1021.99
2008,Finchley Central                   ,8303,5957,3144,7949,5031,3141,310.23
2008,Finchley Road                      ,16033,12141,8745,15509,10998,8112,638.44
2008,Finsbury Park                      ,43906,36466,20090,37631,28371,18870,1662.78
2008,Fulham Broadway                    ,15200,11367,6890,15132,11111,6521,600.22
2008,Gants Hill                         ,8043,4344,2657,7537,4130,2601,279.50
2008,Gloucester Road                    ,21149,15439,11811,20636,15421,11021,849.09
2008,Golders Green                      ,12010,9082,6801,11600,8332,6593,482.48
2008,Goldhawk Road                      ,2829,2136,1193,2763,1861,1251,109.61
2008,Goodge Street                      ,14451,6785,3493,14714,6659,3553,492.00
2008,Grange Hill                        ,842,368,184,738,312,174,26.26
2008,Great Portland Street              ,12146,5040,3520,11835,4767,2949,400.19
2008,Green Park                         ,45738,24194,13565,52685,31758,17083,1760.81
2008,Greenford                          ,6125,3918,2335,5237,3571,2234,216.60
2008,Gunnersbury                        ,6612,2728,1606,6099,2452,1542,210.61
2008,Hainault                           ,4198,1992,1104,3896,1855,1129,138.91
2008,Hammersmith (Dis)                  ,47908,32994,22031,44259,28427,19876,1787.04
2008,Hammersmith (H&C)                  ,14606,10414,6674,14345,10171,6527,569.23
2008,Hampstead                          ,6710,5503,3900,7001,5638,4326,288.84
2008,Hanger Lane                        ,5062,2928,1965,4481,2630,1748,176.41
2008,Harlesden                          ,3842,2362,1522,3297,2241,1819,137.75
2008,Harrow & Wealdstone                ,6609,5074,2747,6788,5822,3190,271.03
2008,Harrow-on-the-Hill                 ,14382,10227,6255,15584,9743,6280,574.04
2008,Hatton Cross                       ,4364,2939,2370,4222,2883,2196,170.40
2008,Heathrow Terminal 4                ,1494,1172,1618,1810,1518,1730,76.61
2008,Heathrow Terminals 123             ,11449,11404,12045,10699,9768,11496,542.89
2008,Heathrow Terminal 5                ,4759,3800,5022,3926,3549,4455,207.93
2008,Hendon Central                     ,9998,5938,4114,9307,5021,3695,356.54
